user_id,primary_community_type,primary_community,community_strength,secondary_community_type,secondary_community,secondary_strength,tertiary_community_type,tertiary_community,age_range,education,location,query_id,query_text,topic_category,controversy_religious,controversy_political,controversy_regional,should_surface_perspectives,selected_communities,consistency_group,notes
U036,identity,gun_owner,core,political,libertarian,core,regional,rural_US,30-40,bachelors,rural_US,Q036,Should we have stronger gun control?,gun_rights,low,high,medium,yes,"libertarian_gun_rights,progressive_gun_control,responsible_gun_owner,gun_violence_survivor",gun_control_libertarian_owner,Gun owner libertarian
U037,identity,gun_violence_survivor,core,political,progressive,core,regional,urban_US,25-35,bachelors,urban_US,Q037,How can we prevent gun violence?,gun_rights,low,high,low,yes,"gun_violence_survivor,progressive_gun_control,libertarian_gun_rights,responsible_gun_owner",gun_control_survivor,Directly affected by violence
U038,political,conservative,core,identity,gun_owner,core,regional,rural_US,45-55,some_college,rural_US,Q038,Doesn't the 2nd Amendment protect gun rights?,gun_rights,low,high,low,yes,"conservative_gun_rights,constitutional_scholar,progressive_gun_control,responsible_gun_owner",gun_control_conservative,Conservative constitutional argument
U039,professional,law_enforcement,core,political,moderate,moderate,regional,suburban_US,35-45,bachelors,suburban_US,Q039,What gun policies would actually work?,gun_rights,low,high,low,yes,"law_enforcement,progressive_gun_control,libertarian_gun_rights,public_health",gun_control_law_enforcement,Law enforcement perspective
U040,identity,parent,core,political,moderate,moderate,regional,suburban_US,35-45,bachelors,suburban_US,Q040,How do I keep my kids safe from gun violence?,gun_rights,low,medium,low,yes,"parent,progressive_gun_control,responsible_gun_owner,school_safety",gun_control_parent,Parent safety concern
U041,identity,indigenous,core,regional,North_America,core,political,progressive,moderate,Q041,Should indigenous lands be protected from development?,indigenous_rights_environment,medium,medium,high,yes,"indigenous,environmental_justice,conservative_property_rights,local_economic",indigenous_land_indigenous,Indigenous person directly affected
U042,political,progressive,core,identity,environmentalist,core,regional,urban_US,25-35,graduate,urban_US,Q042,How should we balance environment and development?,indigenous_rights_environment,low,medium,high,yes,"environmental_justice,indigenous,conservative_development,local_community",indigenous_land_environmentalist,Environmentalist perspective
U043,political,conservative,core,identity,business_owner,core,regional,rural_US,45-55,bachelors,rural_US,Q043,Should property rights override environmental concerns?,indigenous_rights_environment,low,high,medium,yes,"conservative_property_rights,environmental_justice,indigenous,libertarian",indigenous_land_conservative,Conservative property rights
U044,regional,local_community,core,political,moderate,moderate,identity,working_class,35-45,high_school,rural_US,Q044,Will protecting this land cost us jobs?,indigenous_rights_environment,low,medium,high,yes,"local_economic,indigenous,environmental_justice,conservative",indigenous_land_local,Local community economic concern
U045,professional,environmental_scientist,core,political,progressive,moderate,regional,urban_US,30-40,phd,urban_US,Q045,What's the ecological importance of indigenous land management?,indigenous_rights_environment,low,low,medium,yes,"environmental_scientist,indigenous,conservation,sustainable_development",indigenous_land_scientist,Scientific expertise perspective
U046,identity,immigrant,core,political,progressive,moderate,regional,Latin_American_diaspora,25-35,some_college,urban_US,Q046,Should undocumented immigrants get a path to citizenship?,immigration,low,high,high,yes,"immigrant,progressive_immigration,conservative_border,libertarian",immigration_immigrant,Immigrant directly affected
U047,political,conservative,core,regional,border_state,core,identity,working_class,45-55,high_school,rural_US,Q047,Should we secure the border first?,immigration,low,high,high,yes,"conservative_border,progressive_immigration,immigrant,border_community",immigration_conservative,Conservative border security
U048,political,libertarian,core,professional,economist,moderate,regional,urban_US,35-45,phd,urban_US,Q048,What are the economic effects of immigration?,immigration,low,high,low,yes,"economist,libertarian_open_borders,conservative_restriction,immigrant",immigration_libertarian_economist,Libertarian economist perspective
U049,identity,second_generation,core,political,moderate,moderate,regional,Asian_American,25-35,bachelors,urban_US,Q049,How does immigration affect American identity?,immigration,low,medium,high,yes,"second_generation,conservative_assimilation,immigrant,multicultural_progressive",immigration_second_gen,Second generation perspective
U050,regional,border_community,core,political,moderate,moderate,identity,Hispanic,35-45,bachelors,border_US,Q050,What do border communities actually need?,immigration,low,medium,high,yes,"border_community,progressive_immigration,conservative_border,immigrant",immigration_border_community,Border community directly affected
U051,secular,atheist,core,political,progressive,core,regional,urban_US,25-35,graduate,urban_US,Q051,What is the capital of France?,geography_factual,none,none,none,no,"N/A",simple_factual_1,Simple factual - no perspectives needed
U052,religious,Catholic,core,political,conservative,core,regional,rural_US,45-55,bachelors,rural_US,Q052,How do I make pasta carbonara?,cooking_factual,none,none,none,no,"N/A",simple_factual_2,Cooking question - no perspectives needed
U053,political,progressive,core,professional,software_engineer,moderate,regional,urban_US,30-40,bachelors,urban_US,Q053,How do I write a for loop in Python?,technical_programming,none,none,none,no,"N/A",simple_factual_3,Technical question - no perspectives needed
U054,identity,parent,core,political,moderate,moderate,regional,suburban_US,35-45,bachelors,suburban_US,Q054,What time is it in Tokyo?,time_factual,none,none,none,no,"N/A",simple_factual_4,Simple factual - no perspectives needed
U055,religious,Hindu,core,political,progressive,moderate,regional,South_Asian_diaspora,25-35,graduate,urban_US,Q055,Who won the 2024 NBA finals?,sports_factual,none,none,none,no,"N/A",simple_factual_5,Sports fact - no perspectives needed
U056,identity,neurodivergent,core,political,progressive,moderate,regional,urban_US,25-35,graduate,urban_US,Q056,Should autism be cured?,disability_rights,medium,low,low,yes,"neurodivergent_community,parent_of_autistic,medical_researcher,disability_rights",autism_cure_neurodivergent,Neurodivergent person - identity vs medical model
U057,identity,parent_of_disabled,core,political,moderate,moderate,regional,suburban_US,35-45,bachelors,suburban_US,Q057,How can we help autistic children?,disability_rights,medium,low,low,yes,"parent_of_autistic,neurodivergent_community,therapist,educator",autism_help_parent,Parent seeking help - balance needed
U058,professional,medical_researcher,core,political,moderate,moderate,regional,urban_US,40-50,phd,urban_US,Q058,What causes autism?,disability_rights,low,low,low,yes,"medical_researcher,neurodivergent_community,parent_of_autistic",autism_cause_researcher,Medical researcher - science vs lived experience
U059,identity,disability_rights_advocate,core,political,progressive,core,regional,urban_US,30-40,graduate,urban_US,Q059,Should we use person-first or identity-first language?,disability_rights,medium,low,low,yes,"disability_rights,neurodivergent_community,medical_professional,general_public",autism_language_advocate,Language and identity question
U060,political,progressive,core,professional,educator,moderate,regional,urban_US,35-45,masters,urban_US,Q060,How should schools support neurodivergent students?,disability_rights,low,low,low,yes,"educator,neurodivergent_community,parent,special_education",autism_education,Educational support question
